scenario,rep,lam,L_max,method,E,rounds,rate_multiplier,client_rate,validation_mse,selected_vector_upload_bytes,standalone_all_candidate_vector_bytes,standalone_setup_scalar_bytes,standalone_validation_scalar_bytes,standalone_total_upload_bytes,selected_local_steps,all_candidate_local_steps,local_unit,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5037,0.36234086843337054,8.464482806212258,FedAvg-CD-common,20,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,2000.0,2000.0,cyclic CD sweep,0.23076923076923078,230,21.355741909997032,2.2853089648850116,0.2821107549383515,37.07957224267888
IID,5037,0.36234086843337054,8.464482806212258,FedDualAvg-adapted,20,100,0.1,0.011814070899477514,30.351074003247724,1440000.0,4320000.0,48.0,72.0,4320120.0,2000.0,6000.0,cached full-gradient evaluation,0.6666666666666666,57,19.074774756978037,0.004341811866016343,0.0363924880919092,32.42473040992717
IID,5037,0.36234086843337054,8.464482806212258,Pooled-common,0,0,,,,,,,,,,,,0.6304347826086957,62,19.07043294511202,0.0,8.39192951240797e-12,32.28109864191337
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,1,5,,,,72000.0,72000.0,24.0,0.0,72024.0,5.0,5.0,cyclic CD sweep,0.22988505747126436,231,17.513518614779116,1.9553217177474629,0.21586818852673556,25.165001485852066
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,1,5,1.0,0.1181531502182141,31.43284349830683,72000.0,216000.0,48.0,72.0,216120.0,5.0,15.0,cached full-gradient evaluation,0.6511627906976745,56,16.404376235796672,0.8461793387650189,0.5312891957426091,28.437318991016095
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,1,10,,,,144000.0,144000.0,24.0,0.0,144024.0,10.0,10.0,cyclic CD sweep,0.22988505747126436,231,17.50508942554212,1.9468925285104675,0.21486389558209917,25.15446546626009
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,1,10,1.0,0.1181531502182141,28.20213220051302,144000.0,432000.0,48.0,72.0,432120.0,10.0,30.0,cached full-gradient evaluation,0.7887323943661971,41,15.785051024702613,0.22685412767095947,0.2753000574770563,25.45774887581027
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,1,20,,,,288000.0,288000.0,24.0,0.0,288024.0,20.0,20.0,cyclic CD sweep,0.22988505747126436,231,17.505059794254223,1.9468628972225694,0.2148583332029539,25.154436685639194
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,1,20,1.0,0.1181531502182141,26.11073286201617,288000.0,864000.0,48.0,72.0,864120.0,20.0,60.0,cached full-gradient evaluation,0.8615384615384616,35,15.579437236198828,0.021240339167174938,0.07679895995292185,23.659271826003216
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,1,50,,,,720000.0,720000.0,24.0,0.0,720024.0,50.0,50.0,cyclic CD sweep,0.22988505747126436,231,17.505059794030984,1.9468628969993311,0.21485833310272162,25.154436685360626
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,1,50,1.0,0.1181531502182141,25.288246514986035,720000.0,2160000.0,48.0,72.0,2160120.0,50.0,150.0,cached full-gradient evaluation,0.8888888888888888,33,15.558369507273056,0.0001726102414032482,0.012936706967852818,23.044814618523386
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,1,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,100.0,100.0,cyclic CD sweep,0.22988505747126436,231,17.505059794030984,1.9468628969993311,0.2148583331027215,25.154436685360626
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,1,100,1.0,0.1181531502182141,25.242216365734343,1440000.0,4320000.0,48.0,72.0,4320120.0,100.0,300.0,cached full-gradient evaluation,0.8888888888888888,33,15.558203657755946,6.7607242932865574e-06,0.003646354325792134,23.00387717261076
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,5,5,,,,72000.0,72000.0,24.0,0.0,72024.0,25.0,25.0,cyclic CD sweep,0.27522935779816515,188,17.359041913193224,1.8008450161615706,0.22266212776164684,25.765900639996012
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,5,5,1.0,0.1181531502182141,25.997246028966682,72000.0,216000.0,48.0,72.0,216120.0,25.0,75.0,cached full-gradient evaluation,0.8888888888888888,33,15.577031230346526,0.01883433331487261,0.07087333666645734,23.594859435776897
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,5,10,,,,144000.0,144000.0,24.0,0.0,144024.0,50.0,50.0,cyclic CD sweep,0.27522935779816515,188,17.35904182502449,1.8008449279928378,0.2226620941243653,25.765900391378516
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,5,10,1.0,0.1181531502182141,25.40129168456669,144000.0,432000.0,48.0,72.0,432120.0,50.0,150.0,cached full-gradient evaluation,0.9,30,15.562189925491099,0.003993028459445824,0.040756292386626536,23.12645514841652
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,5,20,,,,288000.0,288000.0,24.0,0.0,288024.0,100.0,100.0,cyclic CD sweep,0.27522935779816515,188,17.359041825024462,1.8008449279928094,0.2226620941243534,25.765900391378427
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,5,20,1.0,0.1181531502182141,25.33294845525255,288000.0,864000.0,48.0,72.0,864120.0,100.0,300.0,cached full-gradient evaluation,0.9,30,15.561893332797464,0.0036964357658106906,0.040078989396827525,23.07937749601611
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,5,50,,,,720000.0,720000.0,24.0,0.0,720024.0,250.0,250.0,cyclic CD sweep,0.27522935779816515,188,17.359041825024462,1.8008449279928094,0.22266209412435345,25.765900391378427
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,5,50,0.3,0.03544594506546423,25.276471713442994,720000.0,2160000.0,48.0,72.0,2160120.0,250.0,750.0,cached full-gradient evaluation,0.8709677419354839,32,15.558726824220368,0.0005299271887153623,0.018635780397593893,23.048108688985078
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,5,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,500.0,500.0,cyclic CD sweep,0.27522935779816515,188,17.359041825024462,1.8008449279928094,0.2226620941243534,25.76590039137843
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,5,100,0.3,0.03544594506546423,25.26605927173391,1440000.0,4320000.0,48.0,72.0,4320120.0,500.0,1500.0,cached full-gradient evaluation,0.9032258064516129,32,15.558767389194674,0.0005704921630211857,0.018796783482684598,23.043476279544322
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,20,5,,,,72000.0,72000.0,24.0,0.0,72024.0,100.0,100.0,cyclic CD sweep,0.2803738317757009,184,17.390260800475243,1.83206390344359,0.2310400618565805,25.83375271789151
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,20,5,0.3,0.03544594506546423,25.86551337921955,72000.0,216000.0,48.0,72.0,216120.0,100.0,300.0,cached full-gradient evaluation,0.9180327868852459,31,15.574409311380641,0.016212414348988347,0.06710051298812458,23.488611245948398
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,20,10,,,,144000.0,144000.0,24.0,0.0,144024.0,200.0,200.0,cyclic CD sweep,0.2803738317757009,184,17.390260800475243,1.83206390344359,0.23104006185658058,25.83375271789151
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,20,10,0.3,0.03544594506546423,25.40820565860729,144000.0,432000.0,48.0,72.0,432120.0,200.0,600.0,cached full-gradient evaluation,0.9,30,15.564563468961023,0.006366571929369513,0.04885412580953624,23.131988128899742
IID,5038,0.38588496439403125,8.46359151789965,FedAvg-CD-common,20,20,,,,288000.0,288000.0,24.0,0.0,288024.0,400.0,400.0,cyclic CD sweep,0.2803738317757009,184,17.390260800475243,1.83206390344359,0.2310400618565805,25.83375271789151
IID,5038,0.38588496439403125,8.46359151789965,FedDualAvg-adapted,20,20,0.3,0.03544594506546423,25.361564800289642,288000.0,864000.0,48.0,72.0,864120.0,400.0,1200.0,cached full-gradient evaluation,0.9,30,15.564472733257915,0.006275836226262044,0.05157775182464769,23.101468679132083
