active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,upload_kib,coef_err,test_mse,lam,scenario,rep,final_obj,tau
28,27,1,3,569,0.9642857142857144,0.9,0.9310344827586208,0.8709677419354839,ADMM,,51.0,,717.1875,2.790710463531867,28.448807184446604,0.5010078496422228,Independent,2023,,
202,29,173,1,397,0.1435643564356435,0.9666666666666668,0.25,0.1428571428571428,FedAvg,1.0,13.0,13.0,182.8125,2.786500601902813,28.67260124608166,0.5010078496422228,Independent,2023,20.656786437146028,
67,26,41,4,529,0.3880597014925373,0.8666666666666667,0.5360824742268041,0.3661971830985915,FedAvg-ST,1.0,14.0,13.0,196.875,3.0047864076257644,29.86425342600553,0.5010078496422228,Independent,2023,18.45060161319873,0.0693990427668435
172,29,143,1,427,0.1686046511627907,0.9666666666666668,0.2871287128712871,0.1676300578034682,FedAvg,2.0,8.0,16.0,112.5,2.8237279526060504,28.894664494497597,0.5010078496422228,Independent,2023,20.434964811965813,
52,25,27,5,543,0.4807692307692308,0.8333333333333334,0.6097560975609756,0.4385964912280701,FedAvg-ST,2.0,9.0,16.0,126.5625,3.105770167231975,30.47170478329598,0.5010078496422228,Independent,2023,18.36894785466755,0.0868349974961649
165,29,136,1,434,0.1757575757575757,0.9666666666666668,0.2974358974358974,0.1746987951807229,FedAvg,3.0,6.0,18.0,84.375,2.8579909023740475,29.0968570764262,0.5010078496422228,Independent,2023,20.51660401673772,
55,25,30,5,540,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.4166666666666667,FedAvg-ST,3.0,7.0,18.0,98.4375,3.1321102690574607,30.63078681956752,0.5010078496422228,Independent,2023,18.408573864888723,0.0868349974961649
165,29,136,1,434,0.1757575757575757,0.9666666666666668,0.2974358974358974,0.1746987951807229,FedAvg,5.0,5.0,25.0,70.3125,2.8798554872760724,29.226686389689903,0.5010078496422228,Independent,2023,20.561578770276064,
55,25,30,5,540,0.4545454545454545,0.8333333333333334,0.5882352941176471,0.4166666666666667,FedAvg-ST,5.0,6.0,25.0,84.375,3.150066374138182,30.74001845649875,0.5010078496422228,Independent,2023,18.43878119424121,0.0868349974961649
163,29,134,1,436,0.1779141104294478,0.9666666666666668,0.3005181347150259,0.1768292682926829,FedAvg,8.0,4.0,32.0,56.25,2.885175220968768,29.26007697288194,0.5010078496422228,Independent,2023,20.569959638509246,
56,25,31,5,539,0.4464285714285714,0.8333333333333334,0.5813953488372092,0.4098360655737705,FedAvg-ST,8.0,5.0,32.0,70.3125,3.1546785964572157,30.767966817769747,0.5010078496422228,Independent,2023,18.446341555485827,0.0868349974961649
163,29,134,1,436,0.1779141104294478,0.9666666666666668,0.3005181347150259,0.1768292682926829,FedAvg,10.0,3.0,30.0,42.1875,2.8857562033311743,29.263373019276216,0.5010078496422228,Independent,2023,20.57022300325008,
56,25,31,5,539,0.4464285714285714,0.8333333333333334,0.5813953488372092,0.4098360655737705,FedAvg-ST,10.0,4.0,30.0,56.25,3.1552595577823466,30.771088457136536,0.5010078496422228,Independent,2023,18.447135738502308,0.0868349974961649
164,29,135,1,435,0.1768292682926829,0.9666666666666668,0.2989690721649484,0.1757575757575757,FedAvg,15.0,3.0,45.0,42.1875,2.885982573034993,29.264481217896517,0.5010078496422228,Independent,2023,20.569967063892086,
56,25,31,5,539,0.4464285714285714,0.8333333333333334,0.5813953488372092,0.4098360655737705,FedAvg-ST,15.0,4.0,45.0,56.25,3.155539848492353,30.772402115882787,0.5010078496422228,Independent,2023,18.447443187367963,0.0868349974961649
164,29,135,1,435,0.1768292682926829,0.9666666666666668,0.2989690721649484,0.1757575757575757,FedAvg,20.0,3.0,60.0,42.1875,2.8860001846958943,29.26454531340654,0.5010078496422228,Independent,2023,20.569911614798464,
56,25,31,5,539,0.4464285714285714,0.8333333333333334,0.5813953488372092,0.4098360655737705,FedAvg-ST,20.0,4.0,60.0,56.25,3.155566573100471,30.77251092315304,0.5010078496422228,Independent,2023,18.44746592054969,0.0868349974961649
74,28,46,2,524,0.3783783783783784,0.9333333333333332,0.5384615384615385,0.3684210526315789,Pooled,,,,,1.890607928750803,21.074338251706028,0.2538502986824243,Independent,2024,,
81,25,56,5,514,0.3086419753086419,0.8333333333333334,0.4504504504504504,0.2906976744186046,Local-only,,0.0,,0.0,2.533178924616511,23.967265684165376,0.3377787244299476,Independent,2024,,
168,27,141,3,429,0.1607142857142857,0.9,0.2727272727272727,0.1578947368421052,One-shot,,1.0,,14.0625,2.8379910918628126,25.55100873524829,0.4338811579148803,Independent,2024,,
29,25,4,5,566,0.8620689655172413,0.8333333333333334,0.847457627118644,0.7352941176470589,ADMM,,51.0,,717.1875,2.5281622902045706,23.94183696864032,0.4338811579148803,Independent,2024,,
206,28,178,2,392,0.1359223300970873,0.9333333333333332,0.2372881355932203,0.1346153846153846,FedAvg,1.0,12.0,12.0,168.75,2.7452846283766696,24.965973134300263,0.4338811579148803,Independent,2024,16.422985352246588,
26,21,5,9,565,0.8076923076923077,0.7,0.75,0.6,FedAvg-ST,1.0,13.0,12.0,182.8125,3.169717622207196,27.615866559014385,0.4338811579148803,Independent,2024,14.99288711080317,0.1177344849086329
187,28,159,2,411,0.1497326203208556,0.9333333333333332,0.2580645161290322,0.1481481481481481,FedAvg,2.0,8.0,16.0,112.5,2.7968382844163373,25.293055680387965,0.4338811579148803,Independent,2024,16.185142754927817,
30,21,9,9,561,0.7,0.7,0.7,0.5384615384615384,FedAvg-ST,2.0,9.0,16.0,126.5625,3.124663697469996,27.328832370198555,0.4338811579148803,Independent,2024,14.982558058020215,0.0940940955709404
177,28,149,2,421,0.1581920903954802,0.9333333333333332,0.2705314009661836,0.1564245810055866,FedAvg,3.0,7.0,21.0,98.4375,2.8163162413514478,25.387184852243216,0.4338811579148803,Independent,2024,16.170786253794713,
29,21,8,9,562,0.7241379310344828,0.7,0.711864406779661,0.5526315789473685,FedAvg-ST,3.0,8.0,21.0,112.5,3.137064279444165,27.38063114345321,0.4338811579148803,Independent,2024,15.001305632163582,0.0940940955709404
174,27,147,3,423,0.1551724137931034,0.9,0.2647058823529411,0.1525423728813559,FedAvg,5.0,5.0,25.0,70.3125,2.8272862311405302,25.459364761171784,0.4338811579148803,Independent,2024,16.16800570911692,
30,21,9,9,561,0.7,0.7,0.7,0.5384615384615384,FedAvg-ST,5.0,6.0,25.0,84.375,3.1434716998644503,27.427103430908232,0.4338811579148803,Independent,2024,15.01753755535259,0.0940940955709404
171,27,144,3,426,0.1578947368421052,0.9,0.2686567164179104,0.1551724137931034,FedAvg,8.0,5.0,40.0,70.3125,2.8326526590338386,25.5070184164737,0.4338811579148803,Independent,2024,16.166817279227153,
30,21,9,9,561,0.7,0.7,0.7,0.5384615384615384,FedAvg-ST,8.0,6.0,40.0,84.375,3.147549381264183,27.46336042313902,0.4338811579148803,Independent,2024,15.029064386535747,0.0940940955709404
169,27,142,3,428,0.1597633136094674,0.9,0.271356783919598,0.1569767441860465,FedAvg,10.0,4.0,40.0,56.25,2.834617093668617,25.523850007287585,0.4338811579148803,Independent,2024,16.16554049642545,
31,21,10,9,560,0.6774193548387096,0.7,0.6885245901639343,0.525,FedAvg-ST,10.0,5.0,40.0,70.3125,3.1488818686843087,27.474921776835757,0.4338811579148803,Independent,2024,15.032347617018708,0.0940940955709404
168,27,141,3,429,0.1607142857142857,0.9,0.2727272727272727,0.1578947368421052,FedAvg,15.0,4.0,60.0,56.25,2.8368185597054545,25.54148766412007,0.4338811579148803,Independent,2024,16.165053089159734,
32,21,11,9,559,0.65625,0.7,0.6774193548387096,0.5121951219512195,FedAvg-ST,15.0,5.0,60.0,70.3125,3.1505177376843885,27.488831901697942,0.4338811579148803,Independent,2024,15.03615540734895,0.0940940955709404
167,27,140,3,430,0.1616766467065868,0.9,0.2741116751269036,0.1588235294117647,FedAvg,20.0,3.0,60.0,42.1875,2.837514369547154,25.547371752521094,0.4338811579148803,Independent,2024,16.16493859018319,
32,21,11,9,559,0.65625,0.7,0.6774193548387096,0.5121951219512195,FedAvg-ST,20.0,4.0,60.0,56.25,3.151050383633077,27.49313378421786,0.4338811579148803,Independent,2024,15.037213554676203,0.0940940955709404
