scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,vector_kib_m,scalar_kib_m,upload_kib_m,selected_rounds_m,selected_local_epochs_m,selected_vector_kib_m,tuning_rounds_m,total_rounds_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,FedAvg-ST-min,1.0,200,237.96,28.135,209.825,0.12639796299282882,0.9378333333333333,0.22092433777080964,0.12503567026889398,2.9677947240287317,28.353998092937246,16.225,16.225,228.1640625,2.8125,230.9765625,16.225,16.225,228.1640625,0.0,17.225,0.0034423580121123805,0.002226654181839928,0.01918770387717163,0.24195238825968102,0.0033222386551453606,0.002326519383241833,4.571573956769273
Correlated,FedAvg-ST-min,2.0,200,215.32,27.97,187.35,0.13987134112135025,0.9323333333333333,0.2408888464211167,0.13803848886518033,2.987925243478393,28.4879196278352,10.19,20.38,143.296875,2.8125,146.109375,10.19,20.38,143.296875,0.0,11.19,0.003841726459338739,0.002535537775102587,0.018036466281686602,0.2420545797159304,0.003496109347476741,0.002663904936410156,4.414797866381318
Correlated,FedAvg-ST-min,3.0,200,205.145,27.915,177.23,0.14583519508642456,0.9305,0.24973864451196431,0.14377394886985198,3.0012797142464693,28.558644570087917,8.125,24.375,114.2578125,2.8125,117.0703125,8.125,24.375,114.2578125,0.0,9.125,0.0037925510993587815,0.002524739735533646,0.017654008809866728,0.24171346272519847,0.003658949546130401,0.002666857391365672,4.08748794044907
Correlated,FedAvg-ST-min,5.0,200,196.84,27.85,168.99,0.1506801408601787,0.9283333333333332,0.2569808450075135,0.14849949789473166,3.014005346717914,28.619635498550448,6.345,31.725,89.2265625,2.8125,92.0390625,6.345,31.725,89.2265625,0.0,7.345,0.0037298562336058024,0.0025042644571406708,0.01733193644562236,0.24095809237053067,0.003635776689851858,0.0026409888743839237,3.7340780245553713
Correlated,FedAvg-ST-min,8.0,200,192.91,27.79,165.12,0.1524938949197308,0.9263333333333335,0.2597175380179291,0.15024124356803728,3.0204694031884003,28.64850430593867,5.185,41.48,72.9140625,2.8125,75.7265625,5.185,41.48,72.9140625,0.0,6.185,0.0036080418417001247,0.002432691233741509,0.017211162311590214,0.2405550121538907,0.0035959372819600265,0.002570284822871122,3.4271102877822766
Correlated,FedAvg-ST-min,10.0,200,191.29,27.785,163.505,0.15334753285482441,0.9261666666666667,0.2610203434429322,0.15107597038340648,3.022355604189928,28.657231328900924,4.75,47.5,66.796875,2.8125,69.609375,4.75,47.5,66.796875,0.0,5.75,0.003554839077684698,0.0024025436216943397,0.017181185388860994,0.24044568242936,0.00359040146658197,0.002540279971694783,3.2842290269570933
Correlated,FedAvg-ST-min,15.0,200,190.555,27.785,162.77,0.15383779179113669,0.9261666666666667,0.26176420066379086,0.1515570597736835,3.024212710854988,28.66566359211962,4.045,60.675,56.8828125,2.8125,59.6953125,4.045,60.675,56.8828125,0.0,5.045,0.003533166639283311,0.0023888471912647067,0.017159235886347386,0.24036186665351408,0.0035591633531530564,0.0025264614675377375,3.26669425132783
Correlated,FedAvg-ST-min,20.0,200,189.685,27.775,161.91,0.154231924435046,0.9258333333333333,0.2623684181320258,0.15193404800972302,3.024968431896715,28.66932867274108,3.61,72.2,50.765625,2.8125,53.578125,3.61,72.2,50.765625,0.0,4.61,0.0034878917540543766,0.002361073478807623,0.017147116785432702,0.2403328546697648,0.003524164805563547,0.0024994487975564046,3.191222080462932
Correlated,Local-only,,200,102.32,25.15,77.17,0.2670530931228989,0.8383333333333333,0.397107308651628,0.25071778091923763,2.9949453993489628,28.537882795604855,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005487315217794705,0.004375659479454861,0.019183856438823328,0.24184080275252598,0.00553527846177208,0.005308547656496153,2.270753090494418
Correlated,Local-only-1SE,,200,41.405,19.57,21.835,0.5328282285341898,0.6523333333333333,0.5524112092472385,0.38592452363941293,3.37624992804317,31.33624262308355,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.005817921491299767,0.005423700547914578,0.028363708041072227,0.31187646321190793,0.011051652748603352,0.010565166498741342,1.3234661644493262
Correlated,One-shot,,200,190.17,27.765,162.405,0.15360601544313635,0.9255,0.26145280909061325,0.1513201805129712,3.026152562359131,28.666670559477573,1.0,,14.0625,0.0,14.0625,1.0,,14.0625,0.0,1.0,0.0034727200611911696,0.0023531749240501645,0.017106571320384904,0.24041770387827727,0.0035442288003096995,0.0024923218076949713,3.1135230251502404
