active,TP,FP,FN,TN,precision,recall,F1,jaccard,coef_err,test_mse,rule,E,seed,converged,rounds,kib,lambda1,lambda2,lambda3
160,30,130,0,440,0.1875,1,0.315789474,0.1875,0.981762503,2.125275286,val_1se,5,2,TRUE,6,84.375,0.108263673,0.108263673,0.148735211
159,30,129,0,441,0.188679245,1,0.317460317,0.188679245,1.019519482,2.216452001,val_1se,10,2,TRUE,4,56.25,0.108263673,0.108263673,0.148735211
158,30,128,0,442,0.189873418,1,0.319148936,0.189873418,1.029388282,2.241023896,val_1se,20,2,TRUE,3,42.1875,0.108263673,0.108263673,0.148735211
600,30,570,0,0,0.05,1,0.095238095,0.05,6.13E+55,3.46E+111,BIC,1,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+56,1.81E+112,BIC,3,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.25E+56,1.45E+112,BIC,5,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.21E+55,1.43E+110,BIC,10,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.85E+54,3.24E+108,BIC,20,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,6.13E+55,3.46E+111,EBIC_g05,1,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+56,1.81E+112,EBIC_g05,3,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.25E+56,1.45E+112,EBIC_g05,5,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.21E+55,1.43E+110,EBIC_g05,10,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.85E+54,3.24E+108,EBIC_g05,20,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,6.13E+55,3.46E+111,EBIC_g10,1,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+56,1.81E+112,EBIC_g10,3,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.25E+56,1.45E+112,EBIC_g10,5,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.21E+55,1.43E+110,EBIC_g10,10,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.85E+54,3.24E+108,EBIC_g10,20,2,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
54,30,24,0,546,0.555555556,1,0.714285714,0.555555556,3.276498986,12.20575321,oracle_F1,1,2,TRUE,10,140.625,0.529831691,0.385662042,0.727895384
63,30,33,0,537,0.476190476,1,0.64516129,0.476190476,3.490474836,13.6945369,oracle_F1,3,2,TRUE,5,70.3125,0.529831691,0.385662042,0.727895384
65,30,35,0,535,0.461538462,1,0.631578947,0.461538462,3.524839991,13.94128728,oracle_F1,5,2,TRUE,4,56.25,0.529831691,0.385662042,0.727895384
65,30,35,0,535,0.461538462,1,0.631578947,0.461538462,3.535290211,14.0204705,oracle_F1,10,2,TRUE,3,42.1875,0.529831691,0.385662042,0.727895384
65,30,35,0,535,0.461538462,1,0.631578947,0.461538462,3.535725751,14.02391279,oracle_F1,20,2,TRUE,2,28.125,0.529831691,0.385662042,0.727895384
592,30,562,0,8,0.050675676,1,0.096463023,0.050675676,0.548249324,1.458661994,val_mse,1,3,TRUE,22,309.375,0.041753189,0.057361525,1.00E-04
591,30,561,0,9,0.050761421,1,0.096618357,0.050761421,0.612345822,1.572914301,val_mse,3,3,TRUE,12,168.75,0.041753189,0.057361525,1.00E-04
593,30,563,0,7,0.050590219,1,0.096308186,0.050590219,0.632318514,1.605733375,val_mse,5,3,TRUE,10,140.625,0.041753189,0.057361525,1.00E-04
586,30,556,0,14,0.051194539,1,0.097402597,0.051194539,0.645260181,1.623729248,val_mse,10,3,TRUE,9,126.5625,0.041753189,0.057361525,1.00E-04
577,30,547,0,23,0.051993068,1,0.098846787,0.051993068,0.64763425,1.624948916,val_mse,20,3,TRUE,9,126.5625,0.041753189,0.057361525,1.00E-04
227,30,197,0,373,0.13215859,1,0.233463035,0.13215859,0.64101368,1.462697432,val_1se,1,3,TRUE,13,182.8125,0.078804628,0.078804628,0.078804628
220,30,190,0,380,0.136363636,1,0.24,0.136363636,0.771815195,1.627322255,val_1se,3,3,TRUE,8,112.5,0.078804628,0.078804628,0.078804628
215,30,185,0,385,0.139534884,1,0.244897959,0.139534884,0.813406914,1.676603438,val_1se,5,3,TRUE,7,98.4375,0.078804628,0.078804628,0.078804628
212,30,182,0,388,0.141509434,1,0.247933884,0.141509434,0.848132617,1.723001658,val_1se,10,3,TRUE,6,84.375,0.078804628,0.078804628,0.078804628
209,30,179,0,391,0.14354067,1,0.251046025,0.14354067,0.859506841,1.743207967,val_1se,20,3,TRUE,5,70.3125,0.078804628,0.078804628,0.078804628
600,30,570,0,0,0.05,1,0.095238095,0.05,1.61E+57,2.62E+114,BIC,1,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.05E+66,3.78E+132,BIC,3,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.38E+67,1.96E+135,BIC,5,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.02E+68,1.03E+136,BIC,10,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,5.00E+67,2.58E+135,BIC,20,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.61E+57,2.62E+114,EBIC_g05,1,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.05E+66,3.78E+132,EBIC_g05,3,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.38E+67,1.96E+135,EBIC_g05,5,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.02E+68,1.03E+136,EBIC_g05,10,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,5.00E+67,2.58E+135,EBIC_g05,20,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.61E+57,2.62E+114,EBIC_g10,1,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.05E+66,3.78E+132,EBIC_g10,3,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.38E+67,1.96E+135,EBIC_g10,5,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.02E+68,1.03E+136,EBIC_g10,10,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,5.00E+67,2.58E+135,EBIC_g10,20,3,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
50,30,20,0,550,0.6,1,0.75,0.6,3.503168193,11.14629402,oracle_F1,1,3,TRUE,9,126.5625,0.529831691,0.727895384,0.385662042
51,30,21,0,549,0.588235294,1,0.740740741,0.588235294,3.64364204,11.87663515,oracle_F1,3,3,TRUE,5,70.3125,0.529831691,0.727895384,0.385662042
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.667217899,12.00905467,oracle_F1,5,3,TRUE,4,56.25,0.529831691,0.727895384,0.385662042
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.677119138,12.06477202,oracle_F1,10,3,TRUE,3,42.1875,0.529831691,0.727895384,0.385662042
52,30,22,0,548,0.576923077,1,0.731707317,0.576923077,3.677705608,12.06777912,oracle_F1,20,3,TRUE,3,42.1875,0.529831691,0.727895384,0.385662042
318,30,288,0,282,0.094339623,1,0.172413793,0.094339623,0.589769573,1.393721071,val_mse,1,4,TRUE,15,210.9375,0.057361525,0.078804628,0.041753189
278,30,248,0,322,0.107913669,1,0.194805195,0.107913669,0.720171268,1.570687175,val_mse,3,4,TRUE,9,126.5625,0.057361525,0.078804628,0.041753189
278,30,248,0,322,0.107913669,1,0.194805195,0.107913669,0.76763476,1.642833622,val_mse,5,4,TRUE,8,112.5,0.057361525,0.078804628,0.041753189
