"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
40,30,10,0,560,0.75,1,0.857142857142857,0.75,4.07162119464672,17.168050684911,"oracle_F1",1,6,8,TRUE,40
43,30,13,0,557,0.697674418604651,1,0.821917808219178,0.697674418604651,4.19201567340792,18.4168330543623,"oracle_F1",5,6,3,TRUE,43
43,30,13,0,557,0.697674418604651,1,0.821917808219178,0.697674418604651,4.19288940843546,18.4261578466618,"oracle_F1",20,6,2,TRUE,43
293,30,263,0,307,0.102389078498294,1,0.185758513931889,0.102389078498294,0.487545250400459,1.28795305374379,"val_mse",1,7,14,TRUE,293
115.3,30,85.3,0,484.7,0.2601908065915,1,0.412938747419133,0.2601908065915,0.867098382927023,1.95155172575536,"val_mse_localonly",1,7,14,TRUE,NA
247,30,217,0,353,0.121457489878543,1,0.216606498194946,0.121457489878543,0.652930265207668,1.47494272824909,"val_mse",5,7,7,TRUE,247
115.3,30,85.3,0,484.7,0.2601908065915,1,0.412938747419133,0.2601908065915,0.867098382927023,1.95155172575536,"val_mse_localonly",5,7,7,TRUE,NA
237,30,207,0,363,0.126582278481013,1,0.224719101123595,0.126582278481013,0.705370575605402,1.54457190178778,"val_mse",20,7,5,TRUE,237
115.3,30,85.3,0,484.7,0.2601908065915,1,0.412938747419133,0.2601908065915,0.867098382927023,1.95155172575536,"val_mse_localonly",20,7,5,TRUE,NA
126,30,96,0,474,0.238095238095238,1,0.384615384615385,0.238095238095238,0.737881436820025,1.53610399061264,"val_1se",1,7,10,TRUE,126
62.2,30,32.2,0,537.8,0.482315112540193,1,0.650759219088937,0.482315112540193,1.0210835627538,2.20663212295136,"val_1se_localonly",1,7,10,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.727574394201796,1.54653662712393,"val_1se_thresh",1,7,10,TRUE,31
125,30,95,0,475,0.24,1,0.387096774193548,0.24,0.898654100513819,1.77340245205044,"val_1se",5,7,5,TRUE,125
62.2,30,32.2,0,537.8,0.482315112540193,1,0.650759219088937,0.482315112540193,1.0210835627538,2.20663212295136,"val_1se_localonly",5,7,5,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.883893640687049,1.77024405009548,"val_1se_thresh",5,7,5,TRUE,31
127,30,97,0,473,0.236220472440945,1,0.382165605095541,0.236220472440945,0.925426618542957,1.82057288609859,"val_1se",20,7,3,TRUE,127
62.2,30,32.2,0,537.8,0.482315112540193,1,0.650759219088937,0.482315112540193,1.0210835627538,2.20663212295136,"val_1se_localonly",20,7,3,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.908988593919553,1.81203266097253,"val_1se_thresh",20,7,3,TRUE,31
143,30,113,0,457,0.20979020979021,1,0.346820809248555,0.20979020979021,0.701171049309102,1.49607400828142,"BIC_corrected",1,7,11,TRUE,143
71.1,30,41.1,0,528.9,0.421940928270042,1,0.593471810089021,0.421940928270042,1.00634366116218,2.24786038919105,"BIC_corrected_localonly",1,7,11,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.684701907781502,1.49283158624733,"BIC_corrected_thresh",1,7,11,TRUE,31
140,30,110,0,460,0.214285714285714,1,0.352941176470588,0.214285714285714,0.872394274338778,1.73083434422956,"BIC_corrected",5,7,5,TRUE,140
71.1,30,41.1,0,528.9,0.421940928270042,1,0.593471810089021,0.421940928270042,1.00634366116218,2.24786038919105,"BIC_corrected_localonly",5,7,5,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.851149694386526,1.71500821763132,"BIC_corrected_thresh",5,7,5,TRUE,31
137,30,107,0,463,0.218978102189781,1,0.359281437125749,0.218978102189781,0.895965429711946,1.76847697472776,"BIC_corrected",20,7,3,TRUE,137
71.1,30,41.1,0,528.9,0.421940928270042,1,0.593471810089021,0.421940928270042,1.00634366116218,2.24786038919105,"BIC_corrected_localonly",20,7,3,TRUE,NA
31,30,1,0,569,0.967741935483871,1,0.983606557377049,0.967741935483871,0.873424347677238,1.75070031146702,"BIC_corrected_thresh",20,7,3,TRUE,31
48,30,18,0,552,0.625,1,0.769230769230769,0.625,4.25038557176589,17.1928188633489,"oracle_F1",1,7,9,TRUE,48
