scenario,rep,lam,L_max,common_setup_scalar_bytes,dual_rate_setup_scalar_bytes,dual_all_E_vector_bytes,dual_all_E_all_checkpoints_validation_scalar_bytes,cd_all_E_vector_bytes,local_penalty_grid_fits_per_site,dual_local_gram_builds_per_site,dual_total_gradient_evaluations_per_site,cd_total_coordinate_sweeps_per_site,reference_kkt_mapping
IID,5016,0.4138340518048047,8.678165782184342,24,24,12960000,1080,4320000,30,3,7800,2600,9.918843524303611e-12
IID,5017,0.6784397994388143,8.548108566893703,24,24,12960000,1080,4320000,30,3,7800,2600,1.6764419713544143e-12
IID,5018,0.4438668419191496,8.393965235416044,24,24,12960000,1080,4320000,30,3,7800,2600,1.7206028268823559e-12
IID,5019,0.4426635199329214,8.322149426160236,24,24,12960000,1080,4320000,30,3,7800,2600,1.2433387652777128e-11
IID,5020,0.29890788803352414,8.360580747176025,24,24,12960000,1080,4320000,30,3,7800,2600,7.769174192873152e-12
IID,5021,0.5336990124506384,8.6486044084477,24,24,12960000,1080,4320000,30,3,7800,2600,3.984035323867374e-12
IID,5022,0.4195244359044021,8.386409617148653,24,24,12960000,1080,4320000,30,3,7800,2600,9.624800956231638e-12
IID,5023,0.2908118339894344,8.359874081774992,24,24,12960000,1080,4320000,30,3,7800,2600,1.3145998178920593e-11
IID,5024,0.35463448726971997,8.380562591616536,24,24,12960000,1080,4320000,30,3,7800,2600,1.2763679002603112e-11
IID,5025,0.16947447420636114,8.39098659600307,24,24,12960000,1080,4320000,30,3,7800,2600,1.8390349139363327e-11
IID,5026,0.2970591545976842,8.501670391095452,24,24,12960000,1080,4320000,30,3,7800,2600,5.690184434747891e-12
IID,5027,0.9325476882904528,8.62784742204715,24,24,12960000,1080,4320000,30,3,7800,2600,2.7861046802968303e-13
IID,5028,0.3238126914367118,8.60156638344505,24,24,12960000,1080,4320000,30,3,7800,2600,1.5709870904156986e-11
IID,5029,0.3809275508469648,8.549331996435647,24,24,12960000,1080,4320000,30,3,7800,2600,3.0116187321738153e-12
IID,5030,0.36727318992681024,8.445163869950365,24,24,12960000,1080,4320000,30,3,7800,2600,4.89538964920655e-12
IID,5031,1.0087147763312003,8.643097529408557,24,24,12960000,1080,4320000,30,3,7800,2600,4.654610030740969e-14
IID,5032,0.33484196017230056,8.446819988872045,24,24,12960000,1080,4320000,30,3,7800,2600,1.3393140763096056e-11
IID,5033,0.40403300838412765,8.45557035497251,24,24,12960000,1080,4320000,30,3,7800,2600,9.844403070502494e-12
IID,5034,0.36030730141157963,8.336756586850287,24,24,12960000,1080,4320000,30,3,7800,2600,6.3595240185065904e-12
IID,5035,0.42926242964820993,8.534589039141604,24,24,12960000,1080,4320000,30,3,7800,2600,1.327465914968684e-12
IID,5036,0.3669722599869383,8.374290813044627,24,24,12960000,1080,4320000,30,3,7800,2600,5.314360063124468e-12
IID,5037,0.36234086843337054,8.464482806212258,24,24,12960000,1080,4320000,30,3,7800,2600,8.39192951240797e-12
IID,5038,0.38588496439403125,8.46359151789965,24,24,12960000,1080,4320000,30,3,7800,2600,6.4682703637686245e-12
