active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,selected_rounds,selected_local_epochs,selected_vector_kib,tuning_rounds,tuning_local_epochs,tuning_vector_kib,candidate_count,scalar_rounds,total_rounds,vector_kib,scalar_kib,upload_kib,coef_err,test_mse,lam,fit_converged,local_dual_gap,local_dual_gap_tolerance,solver_iterations,solver_restarts,scenario,rep,max_local_dual_gap_ratio,local_fit_iterations,local_fit_dual_gaps,final_obj,primal_residual,dual_residual_scaled,kkt_residual,fit_tolerance,hit_round_cap,final_update_norm,tau,candidate_rounds,all_candidates_converged
120,29,91,1,479,0.24166666666666667,0.9666666666666667,0.38666666666666666,0.2396694214876033,Pooled,,,,,,,,,,1,0,,,0.0,,1.8786938999631277,23.74014966312889,0.22213328518812467,True,4.708272172138094e-10,4.283953228486355e-09,23.0,0.0,Independent,5001,,,,,,,,,,,,,
34,25,9,5,561,0.7352941176470589,0.8333333333333334,0.78125,0.6410256410256411,Pooled-1SE,,,,,,,,,,1,0,,,0.0,,2.5224749537804185,25.86570544222987,0.453898206948642,True,1.4092620403971522e-11,4.283953228486355e-09,13.0,0.0,Independent,5001,,,,,,,,,,,,,
67,24,43,6,527,0.3582089552238806,0.8,0.4948453608247423,0.3287671232876712,Local-only,,0.0,,0.0,,0.0,0.0,,0.0,1,0,0.0,0.0,0.0,0.0,2.717745319767863,27.12934874630822,0.40189862422389616,True,2.7197984309168534e-10,4.614117684096463e-09,23.0,0.0,Independent,5001,,,,,,,,,,,,,
29,20,9,10,561,0.6896551724137931,0.6666666666666666,0.6779661016949152,0.5128205128205128,Local-only-1SE,,0.0,,0.0,,0.0,0.0,,0.0,1,0,0.0,0.0,0.0,0.0,3.2985761135000695,30.34999436749814,0.6471620935167232,True,2.1518644643947482e-11,4.614117684096463e-09,16.0,0.0,Independent,5001,,,,,,,,,,,,,
169,26,143,4,427,0.15384615384615385,0.8666666666666667,0.2613065326633166,0.15028901734104047,One-shot,,1.0,,1.0,,14.0625,0.0,,0.0,1,0,1.0,14.0625,0.0,14.0625,2.865204333265638,27.782410548936248,0.4300981548333719,True,,,,0.0,Independent,5001,0.13763133144334636,"[23, 58, 49]","[2.7197984309168534e-10, 4.0408470643645464e-10, 5.481012976815691e-10]",,,,,,,,,,
29,20,9,10,561,0.6896551724137931,0.6666666666666666,0.6779661016949152,0.5128205128205128,One-shot-1SE,,1.0,,1.0,,14.0625,0.0,,0.0,1,0,1.0,14.0625,0.0,14.0625,3.8320230609422596,34.05539171895724,1.1837338596893758,True,,,,0.0,Independent,5001,0.004663653187285635,"[16, 0, 0]","[2.1518644643947482e-11, 0.0, 0.0]",,,,,,,,,,
35,25,10,5,560,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.625,ADMM,,55.0,,55.0,,773.4375,0.0,,0.0,1,0,55.0,773.4375,0.0,773.4375,2.4368318605479926,25.494894587751034,0.4300981548333719,True,,,,,Independent,5001,,,,17.95601530764194,1.9373983323456615e-07,1.4794799536813863e-07,1.1502177976741024e-07,1e-08,False,,,,
110,29,81,1,489,0.2636363636363636,0.9666666666666667,0.4142857142857143,0.26126126126126126,ADMM-CV,,,,,,,,,,1,0,,,0.0,,1.889503601959445,23.724407076072623,0.23743343130099076,,,,,,Independent,5001,,,,,,,,,,,,,
33,25,8,5,562,0.7575757575757576,0.8333333333333334,0.7936507936507936,0.6578947368421053,ADMM-CV-1SE,,,,,,,,,,1,0,,,0.0,,2.6972832407442344,26.678602811688087,0.49896950835545834,,,,,,Independent,5001,,,,,,,,,,,,,
193,27,166,3,404,0.13989637305699482,0.9,0.242152466367713,0.1377551020408163,FedAvg,1.0,12.0,12.0,12.0,12.0,168.75,0.0,0.0,0.0,1,0,12.0,168.75,0.0,168.75,2.7270711943188672,27.11228674209148,0.4300981548333719,True,,,,,Independent,5001,,,,19.648868335961946,,,,1e-05,False,4.640192405611375e-06,,,
31,20,11,10,559,0.6451612903225806,0.6666666666666666,0.6557377049180327,0.4878048780487805,FedAvg-1SE,1.0,6.0,6.0,6.0,6.0,84.375,0.0,0.0,0.0,1,0,6.0,84.375,0.0,84.375,3.8209377298157388,33.93429361857752,1.1837338596893758,True,,,,,Independent,5001,,,,22.9709127289428,,,,1e-05,False,7.889687747470666e-06,,,
29,22,7,8,563,0.7586206896551724,0.7333333333333333,0.7457627118644068,0.5945945945945946,FedAvg-ST,1.0,12.0,12.0,12.0,12.0,168.75,0.0,0.0,0.0,1,1,13.0,168.75,2.8125,171.5625,3.2387667871446184,29.934700376207715,0.4300981548333719,True,,,,,Independent,5001,,,,18.5326605371986,,,,1e-05,False,4.640192405611375e-06,0.14602990170587424,,
150,26,124,4,446,0.17333333333333334,0.8666666666666667,0.28888888888888886,0.16883116883116883,FedAvg-ST-min,1.0,12.0,12.0,12.0,12.0,168.75,0.0,0.0,0.0,1,1,13.0,168.75,2.8125,171.5625,2.7508690932105835,27.20411103883415,0.4300981548333719,True,,,,,Independent,5001,,,,19.183333320299308,,,,1e-05,False,4.640192405611375e-06,0.012407586681721962,,
39,23,16,7,554,0.5897435897435898,0.7666666666666667,0.6666666666666666,0.5,FedAvg-P,1.0,58.0,58.0,11.0,11.0,154.6875,47.0,47.0,660.9375,5,1,59.0,815.625,0.3515625,815.9765625,3.1424687611691913,29.35206868356385,0.4300981548333719,True,,,,,Independent,5001,,,,18.486507428069338,,,,1e-05,False,9.471964758085526e-06,0.10752453870834297,"[11, 12, 11, 12, 12]",True
177,26,151,4,419,0.14689265536723164,0.8666666666666667,0.25120772946859904,0.143646408839779,FedAvg,2.0,8.0,16.0,8.0,16.0,112.5,0.0,0.0,0.0,1,0,8.0,112.5,0.0,112.5,2.817312380329355,27.504858413372066,0.4300981548333719,True,,,,,Independent,5001,,,,19.544919856097145,,,,1e-05,False,2.022419432910181e-06,,,
30,20,10,10,560,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,FedAvg-1SE,2.0,4.0,8.0,4.0,8.0,56.25,0.0,0.0,0.0,1,0,4.0,56.25,0.0,56.25,3.8325395357900334,34.0578407173387,1.1837338596893758,True,,,,,Independent,5001,,,,22.888134652439746,,,,1e-05,False,6.427365858971087e-06,,,
27,20,7,10,563,0.7407407407407407,0.6666666666666666,0.7017543859649122,0.5405405405405406,FedAvg-ST,2.0,8.0,16.0,8.0,16.0,112.5,0.0,0.0,0.0,1,1,9.0,112.5,2.8125,115.3125,3.337134403852923,30.564634573701625,0.4300981548333719,True,,,,,Independent,5001,,,,18.655833208336478,,,,1e-05,False,2.022419432910181e-06,0.14602990170587424,,
177,26,151,4,419,0.14689265536723164,0.8666666666666667,0.25120772946859904,0.143646408839779,FedAvg-ST-min,2.0,8.0,16.0,8.0,16.0,112.5,0.0,0.0,0.0,1,1,9.0,112.5,2.8125,115.3125,2.817312380329355,27.504858413372066,0.4300981548333719,True,,,,,Independent,5001,,,,19.544919856097145,,,,1e-05,False,2.022419432910181e-06,0.0,,
