scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
IID,FedAvg-CD-common,5,10,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143781662376784,0.05438903742592377,0.2248396862953834,0.005839256964115983,30.314099048654107,0.5575982677987039
IID,FedAvg-CD-common,5,20,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143781562131274,0.05438903617120845,0.2248396836889392,0.005839256503434773,30.314099023432227,0.5575982701886768
IID,FedAvg-CD-common,5,50,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143781562131017,0.05438903617120528,0.22483968368892907,0.005839256503432974,30.314099023432146,0.557598270188684
IID,FedAvg-CD-common,5,100,50,0.29531584288136314,0.013957015033557089,177.06,9.494892719515162,1.6143781562131017,0.0543890361712052,0.22483968368892907,0.0058392565034329795,30.314099023432146,0.557598270188684
IID,FedAvg-CD-common,20,5,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315719154135,0.05719084811270074,0.22971666564882806,0.006263987410525728,30.3796100174842,0.559269551510108
IID,FedAvg-CD-common,20,10,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315711103128,0.05719084797785883,0.22971666455029194,0.006263987002830161,30.37961002129452,0.5592695511711179
IID,FedAvg-CD-common,20,20,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315711103104,0.05719084797785851,0.2297166645502884,0.006263987002828881,30.379610021294535,0.5592695511711169
IID,FedAvg-CD-common,20,50,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315711103104,0.05719084797785842,0.22971666455028839,0.006263987002828873,30.37961002129454,0.5592695511711168
IID,FedAvg-CD-common,20,100,50,0.29782660146248313,0.013544589665202809,173.24,8.93913934587094,1.6420315711103106,0.05719084797785853,0.22971666455028847,0.006263987002828872,30.379610021294535,0.5592695511711168
IID,FedDualAvg-adapted,1,5,50,0.5889487954614208,0.020267436689908328,65.54,6.03602856324641,0.8804650538709246,0.05776777478878461,0.47597068080181876,0.012112707986596593,33.67201660450914,0.556386410245683
IID,FedDualAvg-adapted,1,10,50,0.637220290732736,0.019665259888998046,56.38,5.059393365265227,0.26644462086987003,0.020129983895975118,0.24717133789838427,0.006455276669779082,30.730782782765722,0.5969091736528623
IID,FedDualAvg-adapted,1,20,50,0.6950503118655024,0.018040697427492865,47.4,4.104850291833716,0.032741363631641124,0.003995642516112643,0.0773064451568419,0.002666666196553856,28.806846934789164,0.6296987011896698
IID,FedDualAvg-adapted,1,50,50,0.7284863517964685,0.01679438399781165,42.84,3.5462380181866884,0.000362138235205452,0.00017311576069573137,0.0075898782694720736,0.0011401134190146506,28.062180634240462,0.6479843659548739
IID,FedDualAvg-adapted,1,100,50,0.7317134021348219,0.016926214830628,42.58,3.4964810298122218,2.6661469838734424e-05,2.123096262413718e-05,0.002054880977578153,0.000627084016351885,28.021280346268522,0.6499537576111138
IID,FedDualAvg-adapted,5,5,50,0.7311458453581554,0.016008697537003406,38.58,3.059557124146952,0.03578987591917488,0.00522579369846951,0.07803018181991947,0.0032136111356025803,28.837971992727148,0.6392274148272753
IID,FedDualAvg-adapted,5,10,50,0.7533977604513145,0.01629784093834762,36.92,2.7671306880770845,0.009400150838188726,0.001596309075534757,0.04897477398416242,0.0020066501348762174,28.283139892620238,0.6545498077054346
IID,FedDualAvg-adapted,5,20,50,0.7590495173593277,0.01596323603091394,37.26,2.7265602161413742,0.007387137236394087,0.0011603488168963954,0.043007613444616594,0.002261904455939155,28.206504242689885,0.6544860251812117
IID,FedDualAvg-adapted,5,50,50,0.7441724250553574,0.016245493149643887,40.12,2.8945606976971585,0.0022920893917659714,0.0010928421422127825,0.017140436905915185,0.0019009845493305807,28.08152593039555,0.6512609649362704
IID,FedDualAvg-adapted,5,100,50,0.741004842564699,0.016460447061674724,41.1,3.2142857142857144,0.000786262874151224,0.00020679411076432436,0.012514161966875015,0.0011727735380071946,28.06353933887051,0.6503794466716651
IID,FedDualAvg-adapted,20,5,50,0.7771191042759107,0.01399254395906515,31.76,1.7450945825486983,0.05285434109231536,0.00905828309825928,0.11023773931668314,0.008026809391381349,28.725443281017693,0.6505605200105258
IID,FedDualAvg-adapted,20,10,50,0.7603477242359898,0.015589065115125169,35.24,2.5738972277026737,0.01554338431836689,0.00251353205574388,0.06613709448298714,0.003323108676698215,28.32798201930389,0.6573710767967074
IID,FedDualAvg-adapted,20,20,50,0.7596530939821023,0.01549147252309893,37.18,2.578829033432319,0.009952399478517171,0.0023283173150284446,0.0434667792348032,0.004045760915210213,28.219392739437335,0.6505423294947004
